A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,
,F,"PRG4 (Lubricin,MSF)",Proteoglycan 4,articular superficial zone protein; bG174L6.2; bG174L6.2 (MSF: megakaryocyte stimulating factor ); CACP; FLJ32635; HAPO; hemangiopoietin; JCAP; Lubricin; megakaryocyte stimulating factor; Megakaryocyte-stimulating factor; MSF; PRG4; Proteoglycan 4; Proteoglycan 4 C-terminal part; Superficial zone proteoglycan; SZP,Protein,"151,061",25-1404,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
N/A,T,PYY3-36,PYY3-36 (34 aa peptide),PYY (3-36),Small molecule,,,,4050.513,91663443,N/A,N/A,https://commonchemistry.cas.org/detail?cas_rn=N/A&search=N/A,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91663443,http://www.chemspider.com/Chemical-Structure.N/A.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/N/A,,DPP4,Dipeptidyl peptidase 4,"ADABP; ADCP2; Adenosine deaminase complexing 2; CD26; Dipeptidyl peptidase 4 soluble form; Dipeptidyl peptidase IV; Dipeptidyl peptidase IV membrane form; Dipeptidyl peptidase IV soluble form; Dipeptidyl-peptidase 4 (CD26,adenosine deaminase complexing 2); DPP IV; DPPIV; EC 3.4.14.5; T-cell activation antigen CD26; TP103",P27487,,,T,F,F,F,T,F,F,T,F,
,F,RLN,Relaxin,"bA12D24.1.1; bA12D24.1.2; H2; H2-preprorelaxin; H2-RLX; Prorelaxin H2; REL2; relaxin 2; Relaxin A chain; Relaxin B chain; relaxin H2; relaxin,ovarian,of pregnancy; RLN2; RLXH2",Protein,"21,043 (isoform 1); 12,883 (isoform 2)",25 – 53(Relaxin B chain); 162 – 185(Relaxin A chain),,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,RNLS,Renalase,"alpha-NAD(P)H oxidase/anomerase; C10orf59; FLJ11218; MAO-C; Monoamine oxidase-C; Renalase; renalase,FAD dependent amine oxidase; renalase,FAD-dependent amine oxidase; RNLS",Protein,"37,847",18 – 342 (Renalase),,,,,,,,,,,,,,,,,T,F,F,T,T,F,F,T,F,
,F,REN,Renin (Angiotensinogenase),"angiotensin-forming enzyme; Angiotensinogenase; FLJ10761; HNFJ2; REN; RENI; Renin; renin precursor,renal",Protein,"45,057",67 – 406,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,ADSF,Resistin (adipose tissue-specific secretory factor),Adipose tissue-specific secretory factor; ADSF; C/EBP-epsilon regulated myeloid-specific secreted cysteine-rich protein precursor 1; C/EBP-epsilon-regulated myeloid-specific secreted cysteine-rich protein; Cysteine-rich secreted protein A12-alpha-like 2; Cysteine-rich secreted protein FIZZ3; FIZZ3; found in inflammatory zone 3; HXCP1; MGC126603; MGC126609; Resistin; resistin delta2; RETN; RETN1; RSTN; XCP1,Protein,"11,419",19 – 108,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,SCT,Secretin,prepro-secretin; SCT; SECR; Secretin,Protein,"13,016",28-54,,,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
50-67-9,T,5-HT,Serotonin,"3- (2-aminoethyl)-1H-indol-5-ol,5-Hydroxytryptamine",Small molecule,,,,176.215,5202,5013,ChEMBL39,https://commonchemistry.cas.org/detail?cas_rn=50-67-9&search=50-67-9,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5202,http://www.chemspider.com/Chemical-Structure.5013.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL39,,DDC,Aromatic L-amino acid decarboxylase,"DOPA decarboxylase,tryptophan decarboxylase,5-hydroxytryptophan decarboxylase,AAAD",P20711,,,T,F,T,F,T,F,F,T,F,
,F,HCS (nPL),Somatomammotropin,Choriomammotropin; chorionic somatomammotropin A; Chorionic somatomammotropin hormone 1; Chorionic somatomammotropin hormone 2; chorionic somatomammotropin-1; CS-1; CSA; CSH1; CSH2; CSMT; GHB3; growth hormone B3; hCS-1; hCS-A; Lactogen; PL; Placental lactogen,Protein,"25,020",27-217,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,SST (GHIH),Somatostatin (Growth hormone inhibiting hormone),Growth hormone release-inhibiting factor; Neuronostatin; NST; prepro-somatostatin; SMS; SMST; Somatostatin; Somatostatin-14; Somatostatin-28; SST; SST-14,Protein,"12,736",89-116 (Somatostatin-28); 103-116 (Somatostatin-14),Nardilysin,,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
,F,SCF,Stem Cell Factor,c-Kit ligand; DCUA; DFNA69; DKFZp686F2250; familial progressive hyperpigmentation 2; FPH2; FPHH; Kit ligand; Kitl; KITLG; KL-1; Mast cell growth factor; MGF; SCF; SF; SHEP7; sKITLG; SLF; Soluble KIT ligand; steel factor; Stem cell factor,Protein,"30,899 (isoform 1); 27,867 (isoform 2); 26,667 (isoform 3)",26 – 273,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,TAC1 (NKA),Neurokinin A (Substance P),"C-terminal-flanking peptide; Hs.2563; neurokinin 1; neurokinin 2; Neurokinin A; neurokinin alpha; Neuromedin L; Neuropeptide gamma; Neuropeptide K; NK2; NKA; NKNA; NPK; PPT; preprotachykinin; protachykinin; Protachykinin-1; Substance K; Substance P; TAC1; TAC2; tachykinin 2; tachykinin precursor 1; tachykinin,precursor 1; tachykinin,precursor 1 (substance K,substance P,neurokinin 1,neurokinin 2,neuromedin L,neurokinin alpha,neuropeptide K,neuropeptide gamma); TKN1",Protein,"15,003","58 – 68 (Substance P); 72 – 107 (Neuropeptide K); 72 – 73 (Neuropeptide gamma,1st part); 89 – 107 (Neuropeptide gamma,2nd part); 98 – 107 (Neurokinin A); 111 – 126 (C-terminal-flanking peptide)",FAP,,,,,,,,,,,,,,,,F,T,T,F,T,F,F,T,F,
58-22-0,T,Testosterone,Testosterone," (8R,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17- dodecahydrocyclopenta[a]phenanthren-3-one; Androst-4-en-17β-ol-3-one",Small molecule,,,,288.42,6013,5791,ChEMBL386630,https://commonchemistry.cas.org/detail?cas_rn=58-22-0&search=58-22-0,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6013,http://www.chemspider.com/Chemical-Structure.5791.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL386630,,HSD17B3,Testosterone 17-beta-dehydrogenase 3,"17-beta-HSD 3; 17-beta-HSD3; 17-beta-hydroxysteroid dehydrogenase type 3; DHB3; EDH17B3; HSD17B3; hydroxysteroid (17-beta) dehydrogenase 3; hydroxysteroid 17-beta dehydrogenase 3; hydroxysteroid dehydrogenase 3; SDR12C2; Short chain dehydrogenase/reductase family 12C member 2; short chain dehydrogenase/reductase family 12C,member 2; Testicular 17-beta-hydroxysteroid dehydrogenase; Testosterone 17-beta-dehydrogenase 3",P37058,2237226,Dehydrogenase enzyme that converts 17-oxosteroids to 17beta-hydroxysteroids,T,F,F,F,T,F,F,T,F,
,F,TPO,Thrombopoietin,C-mpl ligand; Megakaryocyte colony-stimulating factor; Megakaryocyte growth and development factor; megakaryocyte stimulating factor; MGC163194; MGDF; MKCSF; ML; MPL ligand; MPLLG; Myeloproliferative leukemia virus oncogene ligand; prepro-thrombopoietin; THCYT1; THPO; Thrombopoietin; thrombopoietin nirs variant 1; TPO,Protein,"37,823",22 – 353,,,,,,,,,,,,,,,,,T,T,F,F,T,F,F,T,F,
57576-52-0,T,TXA2,Thromboxane A2,"9S,11S-epoxy,15S-hydroxy-thromboxa-5Z,13E-dien-1-oic acid; Thromboxa-5,13-dien-1-oic acid,9,11-epoxy-15-hydroxy-,(5Z,9alpha,11alpha,13E,15S)-; (Z)-7-[ (1S,2S,3R,5S)-3-[ (E,3S)-3-hydroxyoct-1-enyl]-4,7-dioxabicyclo[3.1.1]heptan-2-yl]hept-5-enoic acid",Small molecule,,,,352.465,5280497,102829 (ID for Thromboxane),CHEMBL157628,https://commonchemistry.cas.org/detail?cas_rn=57576-52-0&search=57576-52-0,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5280497,http://www.chemspider.com/Chemical-Structure.102829 (ID for Thromboxane).html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL157628,,TBXAS1,Thromboxane-A synthase,TXA synthase; TXS; Cytochrome P450 5A1,P24557,,,T,F,F,F,T,F,F,T,F,
,F,TSH,Thyroid-stimulating hormone,"thyroid stimulating hormone beta; thyroid stimulating hormone subunit beta; thyroid stimulating hormone,beta; Thyroid-stimulating hormone subunit beta; Thyrotropin beta chain; thyrotropin beta subunit; Thyrotropin subunit beta; TSH-B; TSH-beta; TSHB",Protein,"15,639",21-132,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,TRH,Thyrotropin-releasing hormone,MGC125964; MGC125965; Pro-thyrotropin-releasing hormone; Pro-TRH; Prothyroliberin; Protirelin; Thyroliberin; thyrotropin releasing hormone; Thyrotropin-releasing factor; Thyrotropin-releasing hormone; TRF; TRH; TSH-releasing factor,Protein,"27,404",25-242,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
51-49-0,T,T4,Thyroxine,,Small molecule,-,,,776.87,8730,5614,CHEMBL42115,https://commonchemistry.cas.org/detail?cas_rn=51-49-0&search=51-49-0,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=8730,http://www.chemspider.com/Chemical-Structure.5614.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL42115,,TPO,Thyroid peroxidase,N/A,P07202,,,T,F,F,F,T,F,F,T,F,
,F,TGFA,Transforming growth factor alpha,"EGF-like TGF; ETGF; Protransforming growth factor alpha; TFGA; TGF type 1; TGF-alpha; TGFA; TGFalpha; Transforming growth factor alpha; transforming growth factor,alpha",Protein,"17,006",40-89,ADAM10; ADAM17,,,,,,,,,,,,,,,,F,T,F,T,T,F,F,T,F,
,F,TGFB1,Transforming growth factor beta-1,"CED; DPD1; IBDIMDE; LAP; Latency-associated peptide; prepro-transforming growth factor beta-1; TGF beta; TGF-beta 1 protein; TGF-beta-1; TGF-beta1; TGFB; TGFB1; TGFbeta; transforming growth factor beta 1; Transforming growth factor beta-1; Transforming growth factor beta-1 proprotein; transforming growth factor beta1; transforming growth factor,beta 1",Protein,"44,325",279 – 390,,,,,,,,,,,,,,,,,F,T,F,T,T,F,F,T,F,
,F,TGFB2,Transforming growth factor beta-2,"BSC-1 cell growth inhibitor; Cetermin; G-TSF; Glioblastoma-derived T-cell suppressor factor; LAP; Latency-associated peptide; LDS4; MGC116892; Polyergin; prepro-transforming growth factor beta-2; TGF-beta-2; TGF-beta2; TGFB2; transforming growth factor beta 2; Transforming growth factor beta-2; Transforming growth factor beta-2 proprotein; transforming growth factor,beta 2",Protein,"47,748",21 – 302 (Latency-associated peptide); 303 – 414 (Transforming growth factor beta-2),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,TGFB3,Transforming growth factor beta-3,"ARVD; ARVD1; FLJ16571; LAP; Latency-associated peptide; LDS5; prepro-transforming growth factor beta-3; RNHF; TGF-beta-3; TGF-beta3; TGFB3; transforming growth factor beta 3; Transforming growth factor beta-3; Transforming growth factor beta-3 proprotein; transforming growth factor,beta 3",Protein,47328,301 – 412,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
6893-02-3,T,T3,Triiodothyronine,"3,3',5-triiodo-L-thyronine; (2S)-2-amino-3- [4- (4-hydroxy-3-iodo-phenoxy)- 3,5-diiodo-phenyl]propanoic acid",Small molecule,,,,650.9776,44123465,5707,ChEMBL1544,https://commonchemistry.cas.org/detail?cas_rn=1823692&search=1823692,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44123465,http://www.chemspider.com/Chemical-Structure.5707.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL1544,,DIO2,Type II iodothyronine deiodinase,5DII; D2; DIOII; SelY; TXDI2; deiodinase; iodothyronine; type II,Q92813,,,T,F,F,F,T,F,F,T,F,
61-54-1,T,Tryptamine,Tryptamine,2- (1H-Indol-3-yl)ethanamine; 2- (1H-Indol-3-yl)ethan-1-amine,Small molecule,,,,160.22,1150,1118,CHEMBL6640,https://commonchemistry.cas.org/detail?cas_rn=61-54-1&search=61-54-1,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1150,http://www.chemspider.com/Chemical-Structure.1118.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL6640,,DDC,Aromatic-L-amino-acid decarboxylase,AADC; DOPA decarboxylase,P20711,,,F,F,T,F,T,F,F,T,F,
,F,TNF (TNF-a),Tumour necrosis factor,"APC1 protein; C-domain 1; C-domain 2; Cachectin; DIF; ICD1; ICD2; Intracellular domain 1; Intracellular domain 2; N-terminal fragment; NTF; TNF; TNF superfamily,member 2; TNF,macrophage-derived; TNF,monocyte-derived; TNF-a; TNF-alpha; TNFA; TNFSF2; TNLG1F; Tumor necrosis factor; tumor necrosis factor (TNF superfamily,member 2); tumor necrosis factor alpha; tumor necrosis factor ligand 1F; Tumor necrosis factor ligand superfamily member 2; Tumor necrosis factor,membrane form; Tumor necrosis factor,soluble form; tumor necrosis factor-alpha",Protein,"25,644","1-233 (membrane form),77-233 (soluble form)",TNF alpha converting enzyme (TACE) and SPPL2A or SPPL2B,,,,,,,,,,,,,,,,F,T,F,T,T,F,F,T,F,
,F,TNFSF4 (OX40L),Tumour necrosis factor ligand superfamily member 4,"CD134 ligand; CD134L; CD252; Glycoprotein Gp34; GP34; OX-40L; OX40 antigen ligand; OX40 ligand; OX40L; OX4OL; TAX transcriptionally-activated glycoprotein 1; tax-transcriptionally activated glycoprotein 1 (34kD); TNF superfamily member 4; TNFL4; TNFSF4; TNLG2B; tumor necrosis factor (ligand) superfamily member 4; tumor necrosis factor (ligand) superfamily,member 4; tumor necrosis factor ligand 2B; Tumor necrosis factor ligand superfamily member 4; tumor necrosis factor superfamily member 4; TXGP1",Protein,"21,050",1-183,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,TNFSF9 (4-1BBL),Tumour necrosis factor ligand superfamily member 9,"4-1BB ligand; 4-1BB-L; 4-1BBL; CD137L; homolog of mouse 4-1BB-L; receptor 4-1BB ligand; TNF superfamily member 9; TNFL9; TNFSF9; TNLG5A; tumor necrosis factor (ligand) superfamily,member 9; tumor necrosis factor ligand 5A; Tumor necrosis factor ligand superfamily member 9; tumor necrosis factor superfamily member 9",Protein,"26,625",1-254,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,TNFSF10 (TRAIL),Tumour necrosis factor ligand superfamily member 10,"Apo-2 ligand; Apo-2L; APO2L; CD253; chemokine tumor necrosis factor ligand superfamily member 10; Protein TRAIL; TL2; TNF superfamily member 10; TNF-related apoptosis inducing ligand TRAIL; TNF-related apoptosis-inducing ligand; TNF10; TNFSF10; TNLG6A; TRAIL; tumor necrosis factor (ligand) family,member 10; tumor necrosis factor (ligand) superfamily,member 10; tumor necrosis factor apoptosis-inducing ligand splice variant delta; tumor necrosis factor ligand 6A; Tumor necrosis factor ligand superfamily member 10; tumor necrosis factor superfamily member 10",Protein,"32,509",1-281,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,TNFSF11 (RANKL),Tumour necrosis factor ligand superfamily member 11,"CD254; hRANKL2; ODF; OPGL; OPTB2; Osteoclast differentiation factor; Osteoprotegerin ligand; RANKL; receptor activator of nuclear factor kappa B ligand; Receptor activator of nuclear factor kappa-B ligand; sOdf; TNF superfamily member 11; TNF-related activation-induced cytokine; TNF11; TNFSF11; TNLG6B; TRANCE; tumor necrosis factor (ligand) superfamily,member 11; tumor necrosis factor ligand 6B; Tumor necrosis factor ligand superfamily member 11; Tumor necrosis factor ligand superfamily member 11,membrane form; Tumor necrosis factor ligand superfamily member 11,soluble form; tumor necrosis factor superfamily member 11",Protein,"35,478",1-317,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,TNFSF12 (TWEAK),Tumour necrosis factor ligand superfamily member 12,"APO3 ligand; APO3/DR3 ligand; APO3L; DR3LG; MGC129581; MGC20669; TNF superfamily member 12; TNF-related weak inducer of apoptosis; TNF12; TNFSF12; TNLG4A; tumor necrosis factor (ligand) superfamily,member 12; tumor necrosis factor ligand 4A; Tumor necrosis factor ligand superfamily member 12; Tumor necrosis factor ligand superfamily member 12,membrane form; Tumor necrosis factor ligand superfamily member 12,secreted form; tumor necrosis factor superfamily member 12; TWEAK",Protein,"27,216",94-249,Furin,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,TNFSF13 (APRIL),Tumour necrosis factor ligand superfamily member 13,"A proliferation-inducing ligand; APRIL; CD256; ligand; TALL-2; TALL2; TNF superfamily member 13; TNF- and APOL-related leukocyte expressed ligand 2; TNF-related death ligand 1; TNF13; TNFSF13; TNLG7B; TRDL-1; tumor necrosis factor (ligand) superfamily member 13 transcript variant delta; tumor necrosis factor (ligand) superfamily,member 13; tumor necrosis factor ligand 7B; Tumor necrosis factor ligand superfamily member 13; tumor necrosis factor ligand superfamily member 13 epsilon; tumor necrosis factor superfamily member 13; tumor necrosis factor-like protein ZTNF2; tumor necrosis factor-related death ligand-1; UNQ383/PRO715; ZTNF2",Protein,"27,433 (Isoform Alpha); 25,678 (Isoform Beta); 27,059 (Isoform Gamma); 24,151 (Isoform 4); 36,589 (Isoform TWE-PRIL); 22,488 (Isoform 5)",105 – 250,Furin,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,TNFSF13 (APRIL),Tumour necrosis factor ligand superfamily member 13,"A proliferation-inducing ligand; APRIL; CD256; ligand; TALL-2; TALL2; TNF superfamily member 13; TNF- and APOL-related leukocyte expressed ligand 2; TNF-related death ligand 1; TNF13; TNFSF13; TNLG7B; TRDL-1; tumor necrosis factor (ligand) superfamily member 13 transcript variant delta; tumor necrosis factor (ligand) superfamily,member 13; tumor necrosis factor ligand 7B; Tumor necrosis factor ligand superfamily member 13; tumor necrosis factor ligand superfamily member 13 epsilon; tumor necrosis factor superfamily member 13; tumor necrosis factor-like protein ZTNF2; tumor necrosis factor-related death ligand-1; UNQ383/PRO715; ZTNF2",Protein,"27,433 (Isoform Alpha); 25,678 (Isoform Beta); 27,059 (Isoform Gamma); 24,151 (Isoform 4); 36,589 (Isoform TWE-PRIL); 22,488 (Isoform 5)",105 – 250,Furin,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,TNFSF13B,Tumour necrosis factor ligand superfamily member 13B,"ApoL related ligand TALL-1; B lymphocyte stimulator; B-cell activating factor; B-cell-activating factor; B-lymphocyte stimulator; BAFF; BLYS; CD257; delta BAFF; Delta4 BAFF; Dendritic cell-derived TNF-like molecule; DTL; epididymis secretory sperm binding protein; TALL-1; TALL1; THANK; TN13B; TNF and ApoL-related leukocyte expressed ligand 1; TNF homolog that activates apoptosis; TNF superfamily member 13b; TNF- and APOL-related leukocyte expressed ligand 1; TNFSF13B; TNFSF20; TNLG7A; tumor necrosis factor (ligand) superfamily,member 13b; tumor necrosis factor (ligand) superfamily,member 20; tumor necrosis factor ligand 7A; Tumor necrosis factor ligand superfamily member 13B; Tumor necrosis factor ligand superfamily member 13b,membrane form; Tumor necrosis factor ligand superfamily member 13b,soluble form; tumor necrosis factor superfamily member 13b; tumor necrosis factor superfamily,member 13b; tumor necrosis factor-like protein ZTNF4; ZTNF4",Protein,"31,223","1 – 285 (Tumor necrosis factor ligand superfamily member 13b,membrane form); 134 – 285 (Tumor necrosis factor ligand superfamily member 13b,soluble form)",,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,TNFSF14 (HVEM-L),Tumour necrosis factor ligand superfamily member 14,"CD258; Herpes virus entry mediator ligand; Herpesvirus entry mediator ligand; HVEM-L; HVEML; LIGHT; LTg; TNF superfamily member 14; TNF14; TNFSF14; TR2; tumor necrosis factor (ligand) superfamily,member 14; tumor necrosis factor ligand 1D; Tumor necrosis factor ligand superfamily member 14; Tumor necrosis factor ligand superfamily member 14,membrane form; Tumor necrosis factor ligand superfamily member 14,soluble form; tumor necrosis factor superfamily member 14",Protein,"26,350","1 – 240 (Tumor necrosis factor ligand superfamily member 14,membrane form); 83 – 240 (Tumor necrosis factor ligand superfamily member 14,soluble form)",,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,TNFSF15 (VEGI),Tumour necrosis factor ligand superfamily member 15,"TL1; TL1A; TNF ligand-related molecule 1; TNF superfamily ligand TL1A; TNF superfamily member 15; TNF15; TNFSF15; TNLG1B; tumor necrosis factor (ligand) superfamily,member 15; tumor necrosis factor ligand 1B; Tumor necrosis factor ligand superfamily member 15; Tumor necrosis factor ligand superfamily member 15,membrane form; Tumor necrosis factor ligand superfamily member 15,secreted form; tumor necrosis factor superfamily member 15; Vascular endothelial cell growth inhibitor; vascular endothelial growth inhibitor-192A; VEGI; VEGI192A",Protein,"28,087",1 – 251 (membrane form); 72 – 251 (secreted form),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,TNFSF18 (AITRL),Tumour necrosis factor ligand superfamily member 18,"activation-inducible TNF-related ligand; AITR ligand; AITRL; GITR ligand; GITRL; glucocorticoid-induced TNF-related ligand; glucocorticoid-induced TNFR-related protein ligand; hGITRL; MGC138237; TL6; TNF superfamily member 18; TNF18; TNFSF18; TNLG2A; tumor necrosis factor (ligand) superfamily,member 18; tumor necrosis factor ligand 2A; Tumor necrosis factor ligand superfamily member 18; tumor necrosis factor superfamily member 18",Protein,"20,308",1-199,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
51-67-2,T,TYR,Tyramine,,Small molecule,,,,137.182,5610,5408,CHEMBL11608,https://commonchemistry.cas.org/detail?cas_rn=51-67-2&search=51-67-2,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5610,http://www.chemspider.com/Chemical-Structure.5408.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL11608,,DDC,Aromatic-L-amino-acid decarboxylase,DOPA decarboxylase,P20711,,,F,F,T,F,T,F,F,T,F,
,F,UGN,Uroguanylin,GCAP-II; Guanylate cyclase activator 2B; guanylate cyclase activator 2B (uroguanylin); Guanylate cyclase C-activating peptide 2; Guanylate cyclase C-activating peptide II; GUC2B; GUCA2B; OTTHUMP00000007927; prepro-uroguanylin; Q16661; UGN; uroguanylin,Protein,"12,069",97-112,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,VEGFA,Vascular endothelial growth factor A,"L-VEGF; N-VEGF; Vascular endothelial growth factor A; Vascular endothelial growth factor A,long form; Vascular permeability factor (VPF); VEGF; VEGFA",Protein,"27,042 (Isoform VEGF206); 25,173 (Isoform VEGF189); 24,422 (Isoform VEGF183); 22,314 (Isoform VEGF165); 20,218 (Isoform VEGF148); 20,064 (Isoform VEGF145); 22,259 (Isoform VEGF165B); 17,219 (Isoform VEGF121); 15,981 (Isoform VEGF111); 40,738 (Isoform L-VEGF165); 35,643 (Isoform L-VEGF121); 43,597 (Isoform L-VEGF189); 45,467 (Isoform L-VEGF206); 40,683 (Isoform 15); 42,846 (Isoform 16); 38,642 (Isoform 17); 34,406 (Isoform 18)",27 – 232,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,VEGFB,Vascular endothelial growth factor B,Vascular endothelial growth factor B; VEGF-B; VEGF-related factor; VEGFB; VEGFL; VRF,Protein,"21,602",22 – 207 (Vascular endothelial growth factor B),,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
